Time,ActiveServers,MigratedVMs,Energy
0,0,1,0.2777777777777778
1,0,2,0.5555555555555556
2,0,2,0.5555555555555556
3,0,3,0.8333333333333334
4,0,4,1.1111111111111112
5,0,5,1.3888888888888888
6,0,5,1.3888888888888888
7,0,5,1.3888888888888888
8,0,6,1.6666666666666665
9,0,6,1.6666666666666665
